id,title,sthalam,common_name,city,district,state,country,lat,lng,cluster_group,subcluster_group,marker_color,marker_icon,tooltip,popup_title,popup_html,audio_url,image_url
1,1. Thiruvarangam (Sri Rangam) - Sri Ranganathaswamy Temple,Thiruvarangam,Srirangam,Tiruchirappalli,Tiruchirappalli,Tamil Nadu,India,10.86246937,78.68993659,Chola Nadu (North),Trichy Cluster,red,temple,Srirangam • Tiruchirappalli,Thiruvarangam (Sri Rangam) - Sri Ranganathaswamy Temple,"<h3>Thiruvarangam (Sri Rangam) - Sri Ranganathaswamy Temple</h3><div><b>Location:</b> Tiruchirappalli, Tiruchirappalli, Tamil Nadu, India</div><div><b>Cluster:</b> Chola Nadu (North) / Trichy Cluster</div>",audio/1.Srirangam.m4a,images/1.Srirangam.jpg
2,2.Thirukkozhi (Uraiyur) - Sri Azhagiya Manavala Perumal Temple,Thirukkozhi,Uraiyur,Tiruchirappalli,Tiruchirappalli,Tamil Nadu,India,10.82734785,78.67361671,Chola Nadu (North),Trichy Cluster,red,temple,Uraiyur • Tiruchirappalli,Thirukkozhi (Uraiyur) - Sri Azhagiya Manavala Perumal Temple,"<h3>Thirukkozhi (Uraiyur) - Sri Azhagiya Manavala Perumal Temple</h3><div><b>Location:</b> Tiruchirappalli, Tiruchirappalli, Tamil Nadu, India</div><div><b>Cluster:</b> Chola Nadu (North) / Trichy Cluster</div>",audio/2.Uraiyur.m4a,images/2.Uraiyur.jpg
3,3.Thirukkarambanoor - Sri Purushothaman Perumal Temple,Thirukkarambanoor,Uttamar Kovil,Tiruchirappalli,Tiruchirappalli,Tamil Nadu,India,10.87735671,78.70308408,Chola Nadu (North),Trichy Cluster,red,temple,Uttamar Kovil • Tiruchirappalli,Thirukkarambanoor - Sri Purushothaman Perumal Temple,"<h3>Thirukkarambanoor - Sri Purushothaman Perumal Temple</h3><div><b>Location:</b> Tiruchirappalli, Tiruchirappalli, Tamil Nadu, India</div><div><b>Cluster:</b> Chola Nadu (North) / Trichy Cluster</div>",audio/3.Thirukarambanur.m4a,images/3.Thirukarambanur.jpg
4,4.Thiruvellarai - Sri Pundarikashan Perumal Temple,Thiruvellarai,Thiruvellarai,Tiruchirappalli,Tiruchirappalli,Tamil Nadu,India,10.95679064,78.66765015,Chola Nadu (North),Trichy Cluster,red,temple,Thiruvellarai • Tiruchirappalli,Thiruvellarai - Sri Pundarikashan Perumal Temple,"<h3>Thiruvellarai - Sri Pundarikashan Perumal Temple</h3><div><b>Location:</b> Tiruchirappalli, Tiruchirappalli, Tamil Nadu, India</div><div><b>Cluster:</b> Chola Nadu (North) / Trichy Cluster</div>",audio/4.Thiruvellarai.m4a,images/4.Thiruvellarai.jpg
5,5.Thiru Anbil - Sri Vadivazhagiya Nambi Perumal Temple,Thiru Anbil,Anbil,Tiruchirappalli,Tiruchirappalli,Tamil Nadu,India,10.86797598,78.88212328,Chola Nadu (North),Trichy Cluster,red,temple,Anbil • Tiruchirappalli,Thiru Anbil - Sri Vadivazhagiya Nambi Perumal Temple,"<h3>Thiru Anbil - Sri Vadivazhagiya Nambi Perumal Temple</h3><div><b>Location:</b> Tiruchirappalli, Tiruchirappalli, Tamil Nadu, India</div><div><b>Cluster:</b> Chola Nadu (North) / Trichy Cluster</div>",audio/5.Thiruanbil.m4a,images/5.Thiruanbil.jpg
6,6.Thirupper Nagar - Sri Appakkudathaan Perumal Temple,Thirupper Nagar,Koviladi,Lalgudi,Tiruchirappalli,Tamil Nadu,India,10.83956955,78.88910999,Chola Nadu (North),Trichy Cluster,red,temple,Koviladi • Lalgudi,Thirupper Nagar - Sri Appakkudathaan Perumal Temple,"<h3>Thirupper Nagar - Sri Appakkudathaan Perumal Temple</h3><div><b>Location:</b> Lalgudi, Tiruchirappalli, Tamil Nadu, India</div><div><b>Cluster:</b> Chola Nadu (North) / Trichy Cluster</div>",audio/6.Thirupeernagar.m4a,images/6.ThiruperNagar.jpg
7,7.Thirukkandiyur - Sri Hara Saabha Vimocchana Perumal Temple,Thirukkandiyur,Kandiyur,Thanjavur,Thanjavur,Tamil Nadu,India,10.86043949,79.10856306,Chola Nadu (South),Thanjavur–Kumbakonam Cluster,orange,temple,Kandiyur • Thanjavur,Thirukkandiyur - Sri Hara Saabha Vimocchana Perumal Temple,"<h3>Thirukkandiyur - Sri Hara Saabha Vimocchana Perumal Temple</h3><div><b>Location:</b> Thanjavur, Thanjavur, Tamil Nadu, India</div><div><b>Cluster:</b> Chola Nadu (South) / Thanjavur–Kumbakonam Cluster</div>",audio/8.Thirukkoodalur.m4a,images/7.Thirukkandiyur.jpg
8,8.Thirukkoodaloor - Sri Aaduthurai Perumal Temple,Thirukkoodaloor,Koodaloor,Papanasam,Thanjavur,Tamil Nadu,India,10.92544821,79.20331611,Chola Nadu (South),Thanjavur–Kumbakonam Cluster,orange,temple,Koodaloor • Papanasam,Thirukkoodaloor - Sri Aaduthurai Perumal Temple,"<h3>Thirukkoodaloor - Sri Aaduthurai Perumal Temple</h3><div><b>Location:</b> Papanasam, Thanjavur, Tamil Nadu, India</div><div><b>Cluster:</b> Chola Nadu (South) / Thanjavur–Kumbakonam Cluster</div>",audio/9.Kapisthalam.m4a,images/8.Thirukkoodalur.jpg
9,9.Thirukkavithalam (Kabisthalam) - Sri Gajendra Varadha Perumal Temple,Thirukkavithalam (Kabisthalam),Kabisthalam,Papanasam,Thanjavur,Tamil Nadu,India,10.94733983,79.25713098,Chola Nadu (South),Thanjavur–Kumbakonam Cluster,orange,temple,Kabisthalam • Papanasam,Thirukkavithalam (Kabisthalam) - Sri Gajendra Varadha Perumal Temple,"<h3>Thirukkavithalam (Kabisthalam) - Sri Gajendra Varadha Perumal Temple</h3><div><b>Location:</b> Papanasam, Thanjavur, Tamil Nadu, India</div><div><b>Cluster:</b> Chola Nadu (South) / Thanjavur–Kumbakonam Cluster</div>",audio/10.Thirupullabhoongudi.m4a,images/9.Kapisthalam.jpg
10,10.Thiruppullam Boothankudi - Sri Valvil Ramar Perumal Temple,Thiruppullam Boothankudi,Pullabhoothankudi,Kumbakonam,Thanjavur,Tamil Nadu,India,10.97184208,79.30379371,Chola Nadu (South),Thanjavur–Kumbakonam Cluster,orange,temple,Pullabhoothankudi • Kumbakonam,Thiruppullam Boothankudi - Sri Valvil Ramar Perumal Temple,"<h3>Thiruppullam Boothankudi - Sri Valvil Ramar Perumal Temple</h3><div><b>Location:</b> Kumbakonam, Thanjavur, Tamil Nadu, India</div><div><b>Cluster:</b> Chola Nadu (South) / Thanjavur–Kumbakonam Cluster</div>",audio/10.Thirupullabhoongudi.m4a,images/10.Thirupullabhoongudi.jpg
11,11.Thiru Aadhanoor - Sri Aandu Alakkum Ayan Perumal Temple,Thiru Aadhanoor,Aadanur,Kumbakonam,Thanjavur,Tamil Nadu,India,10.97654672,79.31362024,Chola Nadu (South),Thanjavur–Kumbakonam Cluster,orange,temple,Aadanur • Kumbakonam,Thiru Aadhanoor - Sri Aandu Alakkum Ayan Perumal Temple,"<h3>Thiru Aadhanoor - Sri Aandu Alakkum Ayan Perumal Temple</h3><div><b>Location:</b> Kumbakonam, Thanjavur, Tamil Nadu, India</div><div><b>Cluster:</b> Chola Nadu (South) / Thanjavur–Kumbakonam Cluster</div>",audio/11.ThiruAadhanoor.m4a,images/11.ThiruAadhanoor.jpg
12,12.Thiru Thanjaimaamani Koil - Sri Neelamega Perumal Temple,Thanjai Maamani Koil,Thanjai Maamani Koil,Thanjavur,Thanjavur,Tamil Nadu,India,10.81797774,79.13614109,Chola Nadu (South),Thanjavur–Kumbakonam Cluster,orange,temple,Thanjai Maamani Koil • Thanjavur,Thiru Thanjaimaamani Koil - Sri Neelamega Perumal Temple,"<h3>Thiru Thanjaimaamani Koil - Sri Neelamega Perumal Temple</h3><div><b>Location:</b> Thanjavur, Thanjavur, Tamil Nadu, India</div><div><b>Cluster:</b> Chola Nadu (South) / Thanjavur–Kumbakonam Cluster</div>",audio/12.ThanjaiMamaniKoil.m4a,images/12.ThanjaiMamaniKoil.jpg
13,13.Thiru Vinnagar - Sri Oppiliappa Perumal Temple,Thiru Vinnagar,Oppiliappan Koil,Thirunageswaram,Thanjavur,Tamil Nadu,India,10.96199763,79.43212635,Chola Nadu (South),Thanjavur–Kumbakonam Cluster,orange,temple,Oppiliappan Koil • Thirunageswaram,Thiru Vinnagar - Sri Oppiliappa Perumal Temple,"<h3>Thiru Vinnagar - Sri Oppiliappa Perumal Temple</h3><div><b>Location:</b> Thirunageswaram, Thanjavur, Tamil Nadu, India</div><div><b>Cluster:</b> Chola Nadu (South) / Thanjavur–Kumbakonam Cluster</div>",audio/13.Thiruvinnagar.m4a,images/13.Thiruvinnagar.jpg
